functionality	function_total	domain	phylum	class	order	family	genus	species	count	order_total
methanotrophy	4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis		2	403
methanotrophy	4	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix		2	8
methanol_oxidation	25	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
methanol_oxidation	25	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus		2	1867
methanol_oxidation	25	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera		3	1867
methylotrophy	29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis		2	403
methylotrophy	29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
methylotrophy	29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus		2	1867
methylotrophy	29	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera		3	1867
methylotrophy	29	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Crenothrix		2	8
aerobic_nitrite_oxidation	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter		1	403
aerobic_nitrite_oxidation	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			5	1867
nitrification	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter		1	403
nitrification	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae			5	1867
sulfur_respiration	5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum		5	10
thiosulfate_respiration	7	Bacteria	Firmicutes	Clostridia		Fusibacteraceae	Fusibacter		5	78
thiosulfate_respiration	7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella		2	49
respiration_of_sulfur_compounds	12	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum		5	10
respiration_of_sulfur_compounds	12	Bacteria	Firmicutes	Clostridia		Fusibacteraceae	Fusibacter		5	78
respiration_of_sulfur_compounds	12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella		2	49
nitrate_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
nitrate_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
nitrate_denitrification	69	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
nitrite_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
nitrite_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
nitrite_denitrification	69	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
nitrous_oxide_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
nitrous_oxide_denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
nitrous_oxide_denitrification	69	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
denitrification	69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
denitrification	69	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
chitinolysis	16	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter		16	89
dark_hydrogen_oxidation	95	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium		2	8
dark_hydrogen_oxidation	95	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum		7	53
dark_hydrogen_oxidation	95	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter		2	403
dark_hydrogen_oxidation	95	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
dark_hydrogen_oxidation	95	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga		64	1867
nitrogen_fixation	27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocystis		2	403
nitrogen_fixation	27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium		18	403
nitrogen_fixation	27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter		2	403
nitrogen_fixation	27	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira		4	1867
nitrogen_fixation	27	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter		1	209
nitrite_respiration	113	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
nitrite_respiration	113	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		20	401
nitrite_respiration	113	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera		44	1867
nitrite_respiration	113	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea		47	1867
cellulolysis	17	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella		9	145
cellulolysis	17	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga		8	48
dark_sulfide_oxidation	23	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus		16	1867
dark_sulfide_oxidation	23	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix		7	14
dark_oxidation_of_sulfur_compounds	31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea		8	403
dark_oxidation_of_sulfur_compounds	31	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus		16	1867
dark_oxidation_of_sulfur_compounds	31	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix		7	14
manganese_oxidation	28	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix		28	1867
fermentation	275	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces		1	2
fermentation	275	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		4	8
fermentation	275	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Brooklawnia		3	99
fermentation	275	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionicicella		2	99
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		40	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas		2	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas		3	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter		13	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes		3	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella		1	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides		7	165
fermentation	275	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium		7	430
fermentation	275	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera		1	2
fermentation	275	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium		2	20
fermentation	275	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter		8	20
fermentation	275	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina		3	6
fermentation	275	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium		2	8
fermentation	275	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum		7	53
