Sample ID,System Name,System Type,Media Type 1,Media Type 2,Inoculum,Operation,Collection Date,Cycle length (h),Volume (L),Bin
EUBE1,BP_PX2,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/9/2015,6,2,N and P removal
EUBE2,BP_PX2,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/30/2015,6,2,N and P removal
EUBE3,BP_PX2,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,8/19/2015,6,2,N and P removal
EUBG1,BP_PX2.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/9/2015,6,2,N and P removal
EUBG2,BP_PX2.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/30/2015,6,2,N and P removal
EUBG3,BP_PX2.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,8/19/2015,6,2,N and P removal
EUBF1,BP_PX3,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/9/2015,6,2,N and P removal
EUBF2,BP_PX3,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/30/2015,6,2,N and P removal
EUBF3,BP_PX3,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,8/19/2015,6,2,N and P removal
EUBH1,BP_PX3.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/9/2015,6,2,N and P removal
EUBH2,BP_PX3.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,7/30/2015,6,2,N and P removal
EUBH3,BP_PX3.1,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,8/19/2015,6,2,N and P removal
EUBG4,BP_PX5,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,12/28/2015,6,2,N and P removal
EUBH4,BP_PX6,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,post-anoxic EBPR,12/28/2015,6,2,N and P removal
EUBB1,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,12/16/2014,6,2,P removal
EUBB2,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,12/30/2014,6,2,P removal
EUBB3,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,1/20/2015,6,2,P removal
EUBB4,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,2/3/2015,6,2,P removal
EUBB5,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,6/3/2015,6,2,P removal
EUBB6,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,6/25/2015,6,2,P removal
EUBB7,FEBPR,Sequencing batch reactor,Real wastewater,Municipal fermenter liquor,Moscow WRRF,EBPR,7/17/2015,6,2,P removal
EUBC1,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,12/16/2014,6,2,P removal
EUBC2,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,12/30/2014,6,2,P removal
EUBC3,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,1/20/2015,6,2,P removal
EUBC4,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,2/3/2015,6,2,P removal
EUBC5,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,6/3/2015,6,2,P removal
EUBC6,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,6/25/2015,6,2,P removal
EUBC7,GEBPR,Sequencing batch reactor,Real wastewater,Crude glycerol,Moscow WRRF,EBPR,7/17/2015,6,2,P removal
