Kingdom	Phylum	Class	Order	Family	Genus
Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria Incertae Sedis	Unknown Family	Neomegalonema
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	OLB8
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA
Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Zoogloea
Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA
Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylobacillus
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Candidatus Accumulibacter
